                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                  1.849,                0.52989,                0.28061,                  1.321,                 1.7716,                0.78603,                0.64837,                0.83724,                0.42511,                 0.8607,                0.72783,                0.89527,                0.84061,                 1.5567,                0.35625,                0.06957,                 1.0938,                 1.6383,               0.001604,               0.001604,               0.001604
                     23,                 1.8382,                0.44675,                0.25085,                 1.1883,                  1.749,                0.87187,                0.82353,                0.86805,                0.47624,                0.87187,                0.82353,                0.86805,                0.82493,                 1.6781,                0.39337,                0.05987,                 1.1209,                  1.731,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8431,                0.38144,                 0.2597,                 1.2181,                 1.7371,                0.93294,                0.81862,                0.90456,                0.47252,                0.93218,                0.80924,                 0.9199,                0.89385,                 1.5331,                 0.1937,                0.04971,                 1.0518,                 1.5967,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8059,                 0.4358,                0.25258,                  1.236,                 1.7335,                0.77516,                0.76471,                0.86286,                0.41474,                0.84437,                0.82353,                0.93402,                0.90414,                 1.6256,                0.18309,                0.03827,                  1.111,                 1.6608,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.7451,                0.40901,                0.23205,                 1.2452,                 1.7016,                0.84656,                0.64922,                0.85841,                0.49931,                0.87298,                0.80929,                0.92357,                0.89732,                 1.8176,                0.24827,                0.04567,                 1.0483,                 1.7489,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.7746,                0.35054,                0.25125,                 1.1928,                 1.7215,                0.92517,                0.72827,                0.85035,                0.43724,                0.92517,                0.72827,                0.85735,                0.85274,                 1.6175,                0.27536,                0.10593,                 1.0809,                 1.6779,               0.001505,               0.001505,               0.001505
                     28,                 1.6836,                 0.3234,                0.22407,                 1.1066,                 1.6384,                0.88294,                0.88762,                0.96567,                0.46291,                0.88294,                0.88762,                0.96567,                0.95531,                 1.5989,                0.15644,                0.02424,                 1.0054,                 1.5987,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.684,                0.35676,                0.23793,                 1.0698,                 1.6356,                0.93848,                0.94118,                0.98548,                0.56597,                0.93848,                0.94118,                0.98548,                0.98548,                 1.4062,                0.13591,                0.06111,                0.89382,                  1.532,              0.0014654,              0.0014654,              0.0014654
                     30,                  1.734,                0.31941,                0.22235,                 1.0692,                 1.6822,                0.81177,                0.88235,                0.92077,                0.54602,                0.81177,                0.88235,                0.92077,                0.90158,                 1.4288,                0.20113,                0.07084,                 0.9362,                 1.5736,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.713,                0.33224,                0.22846,                 1.1249,                 1.6374,                0.99016,                      1,                  0.995,                0.60731,                0.99016,                      1,                  0.995,                0.97154,                 1.4433,                0.16953,                0.03743,                0.84692,                 1.5189,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.6529,                0.28963,                0.19022,                 1.0248,                 1.5868,                 0.8089,                      1,                0.97222,                0.50132,                 0.8089,                      1,                0.97222,                  0.971,                 1.4384,                0.12512,                0.02379,                0.94532,                 1.5316,               0.001406,               0.001406,               0.001406
                     33,                  1.623,                0.31374,                0.18241,                 1.0396,                 1.5865,                0.83114,                 0.8692,                0.91967,                 0.5376,                0.83114,                 0.8692,                0.91967,                0.89178,                 1.4132,                0.28128,                0.04007,                0.86032,                 1.5103,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.6006,                0.27777,                0.17828,                 1.0371,                 1.5779,                0.89072,                      1,                0.97967,                0.61946,                0.89072,                      1,                0.97967,                0.97967,                 1.1998,                0.11876,                 0.0348,                0.77589,                 1.4263,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.5354,                0.27929,                0.19297,                0.94225,                 1.5226,                      1,                 0.9943,                  0.995,                0.63871,                      1,                 0.9943,                  0.995,                0.97495,                 1.2404,                0.16765,                0.02629,                0.76232,                 1.4419,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5511,                0.25759,                 0.1898,                0.96147,                 1.5203,                 0.9609,                0.82353,                0.92768,                 0.4958,                 0.8944,                0.99661,                0.98342,                0.97197,                 1.6264,                0.15604,                0.03703,                0.86191,                 1.6083,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5159,                0.24287,                0.16485,                0.95691,                 1.5336,                 0.9418,                0.95246,                0.99222,                0.58846,                 0.9418,                0.95246,                0.99222,                0.94284,                 1.4849,                0.26921,                 0.0176,                0.86336,                 1.5052,               0.001307,               0.001307,               0.001307
